OTU representative sequence,Seq no.,Kingdom,Phylum,Class,Subclass/Order,Family,Genus/Species,source ID,ML0100,ML0101,ML0102,ML0103,ML0104,ML0105,ML0106,ML0107,ML0108,ML0109,ML0110,ML0111,ML0112,ML0113,ML0114,ML0115,ML0116,ML0117,ML0127,ML0128,ML0129,ML0130,ML0131,ML0132,ML0133,ML0134,ML0135,ML0118,ML0119,ML0120,ML0121,ML0122,ML0123,ML0124,ML0125,ML0126,ML0136,ML0137,ML0138,ML0139,ML0140,ML0141,ML0142,ML0143,ML0144,ML0145,ML0146,ML0147,ML0148,ML0149,ML0150,ML0151,ML0152,ML0153
CVN8E:900:3026,34,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,1,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CVN8E:1196:2503,35,Animalia,Arthropoda,Malacostraca,Stomatopoda,Gonodactylidae,Neogonodactylus bredini,NCBI/BOLD,0,0,2,0,3,57,2,0,6,48,97,4957,68,153,26,40,60,51,0,0,0,1,0,1,0,0,0,7,11,28,16,73,8,17,21,22,0,0,2,0,1,0,1,1,1,2,2,4,1,4,2,2,8,6
CVN8E:259:520,36,Animalia,Annelida,,,,,500?m,0,0,0,0,0,0,0,0,0,438,653,74,1179,480,16,13,21,143,0,0,0,0,0,0,0,0,0,20,51,12,9,14,13,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
AJL8W:705:1433,37,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,2,0,8,4,1,2,2,1,10,49,5,240,144,266,44,101,91,43,28,130,125,80,88,27,33,50,615,607,904,1431,839,1027,766,902,788,22,27,17,17,26,14,13,7,26,80,48,84,125,535,261,126,324,101
CVN8E:557:2630,38,Animalia,Annelida,Polychaeta,Sedentaria,,,SAP/500?m,0,0,343,404,6,106,47,36,80,5,9,0,15,40,3,1,0,2,1,0,0,2,0,2,0,0,1,7,44,1,4,4,1,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
CVN8E:1923:2540,39,Animalia,Arthropoda,Maxillopoda,Siphonostomatoida,,,SAP,0,0,0,0,0,0,0,0,0,9,0,2,2350,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,7,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,17,13,39,0,2,3,2,10,0
BN63R:2053:2763,40,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Demonax,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71,59,6,8,5,25,0,2,17
AJL8W:1394:1440,41,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,1,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:2081:2075,42,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:838:124,43,,,,,,,,0,0,0,0,0,0,0,0,0,5,8,9,81,47,62,14,13,28,0,0,1,0,0,1,0,0,0,0,2,2,21,9,3,8,12,8,1,0,0,1,0,0,0,0,0,22,6,8,58,12,68,52,43,64
CVN8E:1776:2780,44,,,,,,,,69,43,134,0,49,9,9,0,88,0,0,0,0,0,0,1,0,1,33,136,5,12,19,10,13,12,3,0,0,0,0,0,0,4,2,0,21,4,47,0,3,2,2,6,8,0,0,0,0,0,0,0,2,0
BN63R:1918:1213,45,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,111,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,14,10,76,0,0,0,0,0,0
AJL8W:1743:2027,46,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,41,2,22,8,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
